produto_comercial,empresa,ingrediente_2,ingrediente
Diurex Agricur 500 SC,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Diurex Agricur 800 SC,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Diurex WG,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Diuron 500 SC Milenia,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Diuron 500 SC Rainbow,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,diurom (ureia),diurom (ureia)
Diuron Fersol 500 SC,Ameribras Indústria e Comércio Ltda.,diurom (ureia),diurom (ureia)
Diuron JI 500 SC,Iharabras S.A. Indústria Químicas - Sorocaba,diurom (ureia),diurom (ureia)
Diuron Nortox,Nortox S.A. - Arapongas,diurom (ureia),diurom (ureia)
Diuron Nortox 500 SC,Nortox S.A. - Arapongas,diurom (ureia),diurom (ureia)
Dizone,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
